date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:16:19	673770/673770	---M--	200	added ('OK')	application/pdf	etag:%2242e835b5885bcd1:5354%22	http://nemfa.org/docs/NEMFA.Bulletin.Color.July.2012.opt.pdf	/home/jis/nemfa1/nemfa/nemfa.org/docs/NEMFA.Bulletin.Color.July.2012.opt.pdf	(from http://nemfa.org/)
21:17:23	484737/484737	---M--	200	added ('OK')	application/pdf	etag:%2217c7ed6cb3ce1:5354%22	http://nemfa.org/docs/NEMFA.Bulletin.October.2012.1.pdf	/home/jis/nemfa1/nemfa/nemfa.org/docs/NEMFA.Bulletin.October.2012.1.pdf	(from http://nemfa.org/)
21:17:28	3083684/3083684	---M--	200	added ('OK')	application/pdf	etag:%2214bf99f8f860cb1:5354%22	http://nemfa.org/docs/NEMFA%20Webnews%20Bulletin%20August%202010.pdf	/home/jis/nemfa1/nemfa/nemfa.org/docs/NEMFA%20Webnews%20Bulletin%20August%202010.pdf	(from http://nemfa.org/)
21:17:42	514572/514572	---M--	200	added ('OK')	application/pdf	etag:%2288d54e6ece3ce1:5354%22	http://nemfa.org/docs/NEMFA.Color.Bulletin.February.2013.1.pdf	/home/jis/nemfa1/nemfa/nemfa.org/docs/NEMFA.Color.Bulletin.February.2013.1.pdf	(from http://nemfa.org/)
21:18:01	1242778/1242778	---M--	200	added ('OK')	application/pdf	etag:%227a7c38f2b23ce1:5354%22	http://nemfa.org/docs/NEMFA.Color.Final.Bulletin.October.2012.pdf	/home/jis/nemfa1/nemfa/nemfa.org/docs/NEMFA.Color.Final.Bulletin.October.2012.pdf	(from http://nemfa.org/)
21:18:34	437765/437765	---M--	200	added ('OK')	application/pdf	etag:%227d8951ccca3ce1:5354%22	http://nemfa.org/docs/NEMFA.Bulletin.February.2013.1.pdf	/home/jis/nemfa1/nemfa/nemfa.org/docs/NEMFA.Bulletin.February.2013.1.pdf	(from http://nemfa.org/)
21:18:34	12271/12271	---M--	200	added ('OK')	text/html	date:Thu,%2008%20Jan%202015%2002:18:57%20GMT	http://nemfa.org/seSearch.aspx	/home/jis/nemfa1/nemfa/nemfa.org/seSearch-2.html	(from http://nemfa.org/)
21:18:37	17485/17485	---M--	200	added ('OK')	application/pdf	etag:%220fa64128cdc61:5354%22	http://nemfa.org/docs/Constitution.pdf	/home/jis/nemfa1/nemfa/nemfa.org/docs/Constitution.pdf	(from http://nemfa.org/)
21:18:41	20096/20096	---M--	200	added ('OK')	application/pdf	etag:%220868d8828cdc61:5354%22	http://nemfa.org/docs/Bylaws.pdf	/home/jis/nemfa1/nemfa/nemfa.org/docs/Bylaws.pdf	(from http://nemfa.org/)
21:18:57	461462/461462	---M--	200	added ('OK')	application/pdf	etag:%22a8ae575f1698ce1:5354%22	http://nemfa.org/docs/NEMFA.Bulletin.June.2013.BW.opt.pdf	/home/jis/nemfa1/nemfa/nemfa.org/docs/NEMFA.Bulletin.June.2013.BW.opt.pdf	(from http://nemfa.org/)
21:18:58	7393/7393	---M--	200	added ('OK')	application/pdf	etag:%220cc50ac28cdc61:5354%22	http://nemfa.org/docs/Concert%20Policies%20Rules%20Regs.pdf	/home/jis/nemfa1/nemfa/nemfa.org/docs/Concert%20Policies%20Rules%20Regs.pdf	(from http://nemfa.org/)
21:19:01	14558/14558	---M--	200	added ('OK')	application/pdf	etag:%220b484dd3d0c81:5354%22	http://nemfa.org/docs/NEMFA%20Library%20Presentation.pdf	/home/jis/nemfa1/nemfa/nemfa.org/docs/NEMFA%20Library%20Presentation.pdf	(from http://nemfa.org/)
21:19:14	659780/659780	---M--	200	added ('OK')	application/pdf	etag:%22d89d4791598ce1:5354%22	http://nemfa.org/docs/NEMFA.Bulletin.June.2013.color.opt.pdf	/home/jis/nemfa1/nemfa/nemfa.org/docs/NEMFA.Bulletin.June.2013.color.opt.pdf	(from http://nemfa.org/)
21:19:16	219977/219977	---M--	200	added ('OK')	application/pdf	etag:%2274c4dd1b11accd1:5354%22	http://nemfa.org/docs/SEFestivalNotes.pdf	/home/jis/nemfa1/nemfa/nemfa.org/docs/SEFestivalNotes.pdf	(from http://nemfa.org/)
21:19:17	1091/1091	---M--	200	added ('OK')	image/gif	etag:%220d026d8bc6c61:5354%22	http://nemfa.org/images/btn_se_nav.gif	/home/jis/nemfa1/nemfa/nemfa.org/images/btn_se_nav.gif	(from http://nemfa.org/)
21:19:18	16823/16823	---M--	200	added ('OK')	text/html	date:Thu,%2008%20Jan%202015%2002:19:41%20GMT	http://nemfa.org/seDirections.aspx?id=2072	/home/jis/nemfa1/nemfa/nemfa.org/seDirections732b.html	(from http://nemfa.org/)
21:19:18	44819/44819	---M--	200	added ('OK')	text/html	date:Thu,%2008%20Jan%202015%2002:19:41%20GMT	http://nemfa.org/seProcedures.aspx?id=2073	/home/jis/nemfa1/nemfa/nemfa.org/seProcedures995e.html	(from http://nemfa.org/)
21:19:34	119397/119397	---M--	200	added ('OK')	application/pdf	etag:%22060afb40cdc61:5354%22	http://nemfa.org/docs/host.pdf	/home/jis/nemfa1/nemfa/nemfa.org/docs/host.pdf	(from http://nemfa.org/)
21:19:43	34106/34106	---M--	200	added ('OK')	application/pdf	etag:%224287b15d84ecf1:5354%22	http://nemfa.org/docs/Cutoff2014.pdf	/home/jis/nemfa1/nemfa/nemfa.org/docs/Cutoff2014.pdf	(from http://nemfa.org/)
21:19:50	305508/305508	---M--	200	added ('OK')	application/pdf	etag:%2229b18869805fcb1:5354%22	http://nemfa.org/docs/Handbook%202.pdf	/home/jis/nemfa1/nemfa/nemfa.org/docs/Handbook%202.pdf	(from http://nemfa.org/)
21:19:51	48655/48655	---M--	200	added ('OK')	application/pdf	etag:%220e0cf66df4c71:5354%22	http://nemfa.org/docs/vocalform.pdf	/home/jis/nemfa1/nemfa/nemfa.org/docs/vocalform.pdf	(from http://nemfa.org/)
21:20:00	49198/49198	---M--	200	added ('OK')	application/pdf	etag:%222e368dc9c873ca1:5354%22	http://nemfa.org/docs/WindSolo.pdf	/home/jis/nemfa1/nemfa/nemfa.org/docs/WindSolo.pdf	(from http://nemfa.org/)
21:20:06	102375/102375	---M--	200	added ('OK')	application/pdf	etag:%22482f764a84ecf1:5354%22	http://nemfa.org/docs/PresidentLtr.pdf	/home/jis/nemfa1/nemfa/nemfa.org/docs/PresidentLtr.pdf	(from http://nemfa.org/)
21:20:07	305508/305508	---M--	200	added ('OK')	application/pdf	etag:%22d7138ca0805fcb1:5354%22	http://nemfa.org/docs/Handbook.pdf	/home/jis/nemfa1/nemfa/nemfa.org/docs/Handbook.pdf	(from http://nemfa.org/)
21:20:08	48318/48318	---M--	200	added ('OK')	application/pdf	etag:%222a38152c973ca1:5354%22	http://nemfa.org/docs/PercSolo.pdf	/home/jis/nemfa1/nemfa/nemfa.org/docs/PercSolo.pdf	(from http://nemfa.org/)
21:20:14	48954/48954	---M--	200	added ('OK')	application/pdf	etag:%22f0aea4a4c873ca1:5354%22	http://nemfa.org/docs/PianoSolo.pdf	/home/jis/nemfa1/nemfa/nemfa.org/docs/PianoSolo.pdf	(from http://nemfa.org/)
21:20:15	48793/48793	---M--	200	added ('OK')	application/pdf	etag:%22f473fbbbc873ca1:5354%22	http://nemfa.org/docs/StringSolo.pdf	/home/jis/nemfa1/nemfa/nemfa.org/docs/StringSolo.pdf	(from http://nemfa.org/)
21:20:16	50384/50384	---M--	200	added ('OK')	application/pdf	etag:%2249766e53837ca1:5354%22	http://nemfa.org/docs/Adjudication_VocalEns.pdf	/home/jis/nemfa1/nemfa/nemfa.org/docs/Adjudication_VocalEns.pdf	(from http://nemfa.org/)
21:20:20	874909/874909	---M--	200	added ('OK')	application/pdf	etag:%227c26fab3920cf1:5354%22	http://nemfa.org/docs/z.9.2013.NEMFA.Bulletin.Color.opt.pdf	/home/jis/nemfa1/nemfa/nemfa.org/docs/z.9.2013.NEMFA.Bulletin.Color.opt.pdf	(from http://nemfa.org/)
21:20:21	17290/17290	---M--	200	added ('OK')	text/html	date:Thu,%2008%20Jan%202015%2002:20:44%20GMT	http://nemfa.org/concertDirections.aspx?id=2074	/home/jis/nemfa1/nemfa/nemfa.org/concertDirections73a3.html	(from http://nemfa.org/)
21:20:23	41360/41360	---M--	200	added ('OK')	application/pdf	etag:%22622583b1875dcb1:5354%22	http://nemfa.org/docs/VoiceRevisionItalian.pdf	/home/jis/nemfa1/nemfa/nemfa.org/docs/VoiceRevisionItalian.pdf	(from http://nemfa.org/)
